IMDB_titleID,IMDB_rating,IMDB_title_name,netflix_type,netflix_title,netflix_director,netflix_cast,netflix_year,netflix_duration,netflix_genre,netflix_description
/title/tt10095336/,6.8 based on 949 user ratings, Our Godfather (2019) ,Movie,Our Godfather,"Mark Franchetti, Andrew Meier",Tommaso Buscetta,2019,93 min,"Documentaries, International Movies","In 1986, Tommaso Buscetta became the first top-level Mafia boss ever to testify against the mob. It cost him and his family everything."
/title/tt10686814/,7.6 based on 423 user ratings, Terrace House: Tokyo 2019-2020 (2019) (TV Series) ,TV Show,Terrace House: Tokyo 2019-2020,,"You, Reina Triendl, Yoshimi Tokui, Azusa Babazono, Ryota Yamasato, Shono Hayama",2019,1 Season,"International TV Shows, Reality TV","Six strangers share a fabulous house in Tokyo, looking for love while living under the same roof. With no script, what happens next is all up to them."
/title/tt6997574/,"4.4 based on 1,736 user ratings"," My Teacher, My Obsession (2018) (TV Movie) ",Movie,"My Teacher, My Obsession",Damián Romay,"Lucy Loken, Laura Bilgeri, Rusty Joiner, Alexandria Deberry, Dakota Bruton, Theresa Sutera, Vin Morreale Jr., Shelby Alicea, Tyler Joseph Campbell, Lestonja Diaz",2018,86 min,Thrillers,"When Riley changed schools, she didn't expect the girls to crush on her English teacher dad. And he didn't expect a disturbing infatuation."
/title/tt5189894/,"6.0 based on 4,493 user ratings", 68 Kill (2017) ,Movie,68 Kill,Trent Haaga,"Matthew Gray Gubler, AnnaLynne McCord, Alisha Boe, Sheila Vand, Sam Eidson, James Moses Black, Ajay Mehta, Michael Beasley, David Maldonado, Hallie Grace Bradley, Peter Jaymes Jr., Eric Podnar, Lucy Faust",2017,96 min,"Comedies, Independent Movies, Thrillers",A hapless guy agrees to help his stunning – but psychotic – girlfriend rob her loathsome sugar daddy in a scheme as ill-conceived as it is violent.
/title/tt0144084/,"7.6 based on 466,516 user ratings"," Americké psycho (2000) aka ""American Psycho"" ",Movie,American Psycho,Mary Harron,"Christian Bale, Willem Dafoe, Jared Leto, Reese Witherspoon, Samantha Mathis, Chloë Sevigny, Justin Theroux, Josh Lucas, Matt Ross, Bill Sage, Cara Seymour, Guinevere Turner",2000,102 min,"Comedies, Cult Movies, Dramas","With chiseled good looks that belie his insanity, a businessman takes pathological pride in yuppie pursuits and indulges in sudden homicidal urges."
/title/tt0118928/,"5.9 based on 78,760 user ratings", Dante's Peak (1997) ,Movie,Dante's Peak,Roger Donaldson,"Pierce Brosnan, Linda Hamilton, Elizabeth Hoffman, Jamie Renée Smith, Jeremy Foley, Charles Hallahan, Grant Heslov, Kirk Trutner, Arabella Field, Tzi Ma",1997,108 min,Action & Adventure,"When a volcanologist comes to investigate the recent rumblings of a dormant volcano, a massive eruption has everyone in town fighting for their lives."
/title/tt5884234/,"5.0 based on 9,566 user ratings", First Kill (2017) ,Movie,First Kill,Steven C. Miller,"Hayden Christensen, Bruce Willis, Gethin Anthony, Megan Leonard, Tyler Jon Olson, Shea Buckner, William DeMeo, Magi Avila, Ty Shelton, Christine Dye",2017,102 min,Action & Adventure,"A stock broker brings his young son back to the town where he grew up for a hunting trip, but things take a dangerous turn when they witness a crime."
/title/tt0433400/,"6.2 based on 103,082 user ratings", Just Friends (I) (2005) ,Movie,Just Friends,Roger Kumble,"Anna Faris, Ty Olsson, Julie Hagerty, Amy Smart, Chris Marquette, Fred Ewanuick, Amy Matysio, Chris Klein, Ryan Reynolds, Stephen Root",2005,94 min,"Comedies, Romantic Movies","Years after high school, a once-portly nice guy comes home for the holidays and reunites with a former crush he still has feelings for."
/title/tt10327136/,6.6 based on 87 user ratings, Mokalik (Mechanic) (2019) ,Movie,Mokalik (Mechanic),Kunle Afolayan,"Tooni Afolayan, Ayo Ogunshina, Dayo Akinpelu, Simi Ogunleye, Femi Adebayo, Lateef Adedimeji, Damilola Ogunsi, Rasaq Olayiwola, Ayo Adesanya, Wale Akorede, Toyosi Benjamin, Hamzat Sherifdeen, Samuel Olasehinde",2019,100 min,"Dramas, International Movies",A young boy's life shifts when he's sent to work at a mechanic's shop far from his suburban home until an opportunity forces him to make a tough choice.
/title/tt0419984/,"5.1 based on 34,628 user ratings", Mr. Woodcock (2007) ,Movie,Mr. Woodcock,Craig Gillespie,"Billy Bob Thornton, Seann William Scott, Ethan Suplee, Melissa Sagemiller, Susan Sarandon, Melissa Leo, Bill Macy, Kurt Fuller, Amy Poehler",2007,88 min,Comedies,"When a self-help author learns that his mother has fallen for his sadistic high school gym teacher, he tries to put a stop to their budding romance."
/title/tt1078588/,"7.4 based on 87,754 user ratings", My Sister's Keeper (2009) ,Movie,My Sister's Keeper,Nick Cassavetes,"Cameron Diaz, Abigail Breslin, Alec Baldwin, Jason Patric, Sofia Vassilieva, Joan Cusack, Heather Wahlquist, Thomas Dekker, Evan Ellingson, David Thornton",2009,109 min,Dramas,A former defense attorney finds herself back in court when she and her husband are sued for medical emancipation by their 11-year-old daughter.
/title/tt0327056/,"7.9 based on 408,228 user ratings"," Tajemná řeka (2003) aka ""Mystic River"" ",Movie,Mystic River,Clint Eastwood,"Sean Penn, Tim Robbins, Kevin Bacon, Laurence Fishburne, Marcia Gay Harden, Laura Linney, Kevin Chapman, Tom Guiry, Emmy Rossum, Spencer Treat Clark",2003,138 min,"Dramas, Thrillers","Tragedy reunites childhood friends Sean, Dave and Jimmy when they're linked together in a murder investigation about Jimmy's teenage daughter."
/title/tt0400717/,"6.1 based on 83,875 user ratings"," Lovecká sezóna (2006) aka ""Open season - amigos salvajes"" ",Movie,Open Season,"Roger Allers, Jill Culton","Martin Lawrence, Ashton Kutcher, Gary Sinise, Debra Messing, Billy Connolly, Georgia Engel, Jon Favreau, Jane Krakowski, Gordon Tootoosis, Patrick Warburton",2006,86 min,"Children & Family Movies, Comedies","After saving a deer from a hunter's clutches, a domesticated grizzly finds himself relocated to the wild – and unprepared for the real world."
/title/tt2198109/,6.0 based on 127 user ratings, Phone Swap (2012) ,Movie,Phone Swap,Kunle Afolayan,"Wale Ojo, Nse Ikpe-Etim, Lydia Forson, Joke Silva, Chika Okpala, Ada Ameh, Hafeez Oyetoro, Chika Chukwu",2012,112 min,"Comedies, International Movies, Romantic Movies",A fashion designer and an arrogant businessman reluctantly try to help each other after accidentally swapping phones in the airport.
/title/tt0409182/,"5.7 based on 95,932 user ratings", Poseidon (2006) ,Movie,Poseidon,Wolfgang Petersen,"Josh Lucas, Kurt Russell, Jacinda Barrett, Richard Dreyfuss, Emmy Rossum, Mía Maestro, Mike Vogel, Kevin Dillon, Freddy Rodríguez",2006,98 min,"Action & Adventure, Dramas","A tidal wave spells disaster for a ship of New Year's Eve revelers when it capsizes the mammoth vessel, sending passengers into a battle for survival."
/title/tt1084950/,"6.7 based on 46,597 user ratings"," Ráchel se vdává (2008) aka ""Rachel Getting Married"" ",Movie,Rachel Getting Married,Jonathan Demme,"Anne Hathaway, Rosemarie DeWitt, Debra Winger, Bill Irwin, Tunde Adebimpe, Mather Zickel, Anna Deavere Smith, Anisa George, Robyn Hitchcock, Sister Carol East, Sebastian Stan",2008,113 min,"Dramas, Independent Movies",Longstanding family conflicts resurface when a former model who's been in and out of rehab for a decade returns home for her sister's wedding.
/title/tt7667038/,3.7 based on 957 user ratings, Serial Killer with Piers Morgan (2017) (TV Series) ,TV Show,Serial Killer with Piers Morgan,,Piers Morgan,2018,1 Season,"British TV Shows, Crime TV Shows, Docuseries","Through intense prison interviews, Piers Morgan revisits the crimes of three convicted serial killers and learns more about their motives."
/title/tt0083131/,"6.9 based on 63,153 user ratings", Stripes (1981) ,Movie,Stripes,Ivan Reitman,"Bill Murray, Harold Ramis, Warren Oates, P.J. Soles, Sean Young, John Candy, John Larroquette, John Voldstad, John Diehl, Lance LeGault, Judge Reinhold",1981,106 min,"Classic Movies, Comedies, Cult Movies","After losing everything, an indolent sad sack impulsively joins the U.S. Army and cajoles his best friend into enlisting, too."
/title/tt0829482/,"7.6 based on 507,469 user ratings", Superbad (2007) ,Movie,Superbad,Greg Mottola,"Jonah Hill, Michael Cera, Christopher Mintz-Plasse, Bill Hader, Seth Rogen, Martha MacIsaac, Emma Stone, Aviva Baumann, Joe Lo Truglio, Kevin Corrigan",2007,113 min,"Comedies, Cult Movies",Two best friends' quest to buy booze for a party in the hopes of scoring with girls leads them on a series of wacky misadventures.
/title/tt5036924/,6.3 based on 90 user ratings, The CEO (2016) ,Movie,The CEO,Kunle Afolayan,"Wale Ojo, Jimmy Jean-Louis, Hilda Dokubo, Nico Panagio, Aurélie Eliam, Peter King Nzioki Mwania, Fatym Layachi, Kemi Lala Akindoju, Angélique Kidjo",2016,109 min,"Dramas, International Movies, Thrillers",A group of executives heads to a telecommunications retreat to pick the firm's new CEO until they find themselves in a contest to win – and stay alive.
/title/tt0410297/,"6.8 based on 136,157 user ratings"," Dům u jezera (2006) aka ""The Lake House"" ",Movie,The Lake House,Alejandro Agresti,"Keanu Reeves, Sandra Bullock, Dylan Walsh, Shohreh Aghdashloo, Ebon Moss-Bachrach, Lynn Collins, Willeke van Ammelrooy, Christopher Plummer",2006,98 min,"Dramas, Romantic Movies, Sci-Fi & Fantasy","A lonely doctor begins writing letters to the frustrated architect who lives in her former home, only to discover that they're living two years apart."
/title/tt1320244/,"5.6 based on 47,233 user ratings", The Last Exorcism (2010) ,Movie,The Last Exorcism,Daniel Stamm,"Patrick Fabian, Ashley Bell, Iris Bahr, Louis Herthum, Caleb Landry Jones, Tony Bentley, John Wright Jr., Shanna Forrestall, Justin Shafer, Carol Sutton",2010,88 min,"Horror Movies, Independent Movies, Thrillers","Ready to expose his miraculous deeds as mere trickery, a famed evangelist invites a documentary crew to film his final exorcism."
/title/tt0120053/,"6.2 based on 60,868 user ratings"," Svatý (1997) aka ""The Saint"" ",Movie,The Saint,Phillip Noyce,"Val Kilmer, Elisabeth Shue, Rade Serbedzija, Valeriy Nikolaev, Henry Goodman, Alun Armstrong, Michael Byrne, Evgeniy Lazarev, Irina Apeksimova, Lev Prygunov",1997,116 min,"Action & Adventure, Romantic Movies","Hired by a Russian politician to steal the formula for cold fusion, master thief Simon Templar falls for the scientist who has unlocked the secret."
/title/tt1111422/,"6.4 based on 181,751 user ratings"," Únos vlaku Pelham 123 (2009) aka ""The Taking of Pelham 123"" ",Movie,The Taking of Pelham 123,Tony Scott,"Denzel Washington, John Travolta, Luis Guzmán, Victor Gojcaj, Robert Vataj, John Turturro, Michael Rispoli, Ramon Rodriguez, James Gandolfini, John Benjamin Hickey, Alex Kaluzhsky, Gbenga Akinnagbe",2009,106 min,Action & Adventure,"When a group of hijackers takes passengers aboard a subway train hostage and demand a ransom, it's up to dispatcher Walter Garber to bring them down."
/title/tt9557874/,7.0 based on 25 user ratings, Transformers: Rescue Bots Academy (I) (2019) (TV Series) ,TV Show,Transformers Rescue Bots Academy,,"Adam Andrianopolous, Pierce Cravens, Xander Crowell, Paul Guyet, Michael Hansen, Mason Hensley, Courtney Shaw, Alan Trinca, Keyon Williams, Andy Zou",2019,1 Season,Kids' TV,"As part of the first class at the Rescue Bots Academy, five Cybertron recruits train under their skilled teachers and take on daring rescue missions."
